customer_id,name,age_band,tenure_years,state,credit_score,num_products,checking_flag,savings_flag,deposit_balance,relationship_value_estimate
C0100000,Allison Hill,55-64,1,NY,637,3,1,1,31798.0,83195.0
C0100001,Noah Rhodes,35-44,15,IL,702,3,1,1,17512.0,49861.0
C0100002,Angie Henderson,55-64,5,WA,641,1,0,0,6557.0,64501.0
C0100003,Daniel Wagner,45-54,15,TX,811,4,1,1,7177.0,184589.0
C0100004,Cristian Santos,25-34,12,TX,729,3,1,1,375.0,112804.0
C0100005,Connie Lawrence,65+,5,PA,725,3,1,1,3022.0,123606.0
C0100006,Abigail Shaffer,55-64,10,MI,730,2,1,0,9903.0,118915.0
C0100007,Gina Moore,55-64,1,WA,747,1,0,0,3239.0,92226.0
C0100008,Gabrielle Davis,25-34,15,NC,764,3,1,1,1650.0,128313.0
C0100009,Ryan Munoz,45-54,7,GA,649,2,1,0,14417.0,56216.0
C0100010,Monica Herrera,35-44,8,AZ,778,4,1,1,38860.0,99278.0
C0100011,Jamie Arnold,65+,4,FL,776,1,0,0,3410.0,64907.0
C0100012,Lisa Hensley,45-54,8,AZ,717,2,1,0,23156.0,34659.0
C0100013,Michele Williams,55-64,8,PA,714,3,1,1,19337.0,18354.0
C0100014,Dylan Miller,35-44,5,PA,580,2,1,0,2509.0,92695.0
C0100015,Brian Ramirez,35-44,20,MA,664,2,1,0,3384.0,167069.0
C0100016,Holly Wood,45-54,6,MI,743,3,1,1,70525.0,126937.0
C0100017,Derek Zuniga,25-34,4,OH,774,3,1,1,2121.0,230317.0
C0100018,Lisa Jackson,55-64,11,PA,752,2,1,0,3902.0,70200.0
C0100019,Carla Gray,45-54,7,OH,716,1,0,0,85725.0,83471.0
C0100020,Margaret Hawkins DDS,55-64,10,VA,806,2,1,0,4094.0,169454.0
C0100021,Patty Perez,35-44,15,FL,765,2,1,0,41093.0,36532.0
C0100022,Ethan Adams,65+,2,FL,702,3,1,1,2377.0,154865.0
C0100023,Tommy Walter,55-64,11,PA,818,2,1,0,9566.0,315739.0
C0100024,Matthew Foster,55-64,1,GA,670,2,1,0,29825.0,103800.0
C0100025,Judy Baker,35-44,1,WA,653,1,0,0,4624.0,96872.0
C0100026,Justin Baker,45-54,2,NY,701,1,0,0,9133.0,23883.0
C0100027,Stephanie Ross,25-34,4,VA,685,1,0,0,19798.0,96102.0
C0100028,Zachary Hicks,35-44,7,AZ,703,2,1,0,2745.0,177035.0
C0100029,Anthony Rodriguez,45-54,19,OH,755,3,1,1,119184.0,61821.0
C0100030,Rebecca Henderson,55-64,19,MA,718,4,1,1,28149.0,234731.0
C0100031,James Ferrell,65+,3,AZ,719,2,1,0,5278.0,155336.0
C0100032,Tricia Valencia,35-44,20,VA,722,3,1,1,6113.0,14112.0
C0100033,Nathan Maldonado,35-44,13,IL,615,2,1,0,80343.0,171086.0
C0100034,Debra Davidson,45-54,12,PA,651,2,1,0,5293.0,46676.0
C0100035,Jeffrey Chavez,35-44,16,WA,702,2,1,0,4598.0,125615.0
C0100036,Sherri Baker,25-34,10,OH,682,2,1,0,32061.0,111994.0
C0100037,Cassandra Gaines,45-54,6,CA,709,2,1,0,1509.0,111438.0
C0100038,Elizabeth Fowler,35-44,11,NJ,783,4,1,1,7376.0,171330.0
C0100039,Brittany Farmer,45-54,15,IL,716,2,1,0,8964.0,33993.0
C0100040,Paula Moreno,35-44,14,MA,660,1,0,0,3483.0,63944.0
C0100041,Fred Smith,55-64,4,WA,684,2,1,0,1238.0,93202.0
C0100042,Sherry Decker,55-64,19,TX,796,4,1,1,8804.0,104148.0
C0100043,Anthony Humphrey,35-44,6,AZ,788,1,0,0,18505.0,155587.0
C0100044,Angelica Tucker,55-64,17,MA,746,4,1,1,3587.0,68027.0
C0100045,Philip Cannon,55-64,7,VA,649,4,1,1,1967.0,283069.0
C0100046,John Pierce,35-44,2,PA,733,2,1,0,36581.0,83728.0
C0100047,Shane Henderson,35-44,20,NJ,737,1,0,0,15272.0,129738.0
