customer_id,name,age_band,tenure_years,state,credit_score,num_products,checking_flag,savings_flag,deposit_balance,relationship_value_estimate,mortgage_id,origination_date,original_balance,current_balance,mortgage_rate,original_term_years,remaining_term_months,monthly_payment,ltv,property_value,delinquency_flag,rate_gap_bps,appointment_request_30d,faq_view_30d,login_30d,mortgage_page_view_30d,payoff_info_view_30d,rate_page_view_30d,refinance_calculator_use_30d,refinance_page_view_30d,statement_download_30d,appointment_request_90d,faq_view_90d,login_90d,mortgage_page_view_90d,payoff_info_view_90d,rate_page_view_90d,refinance_calculator_use_90d,refinance_page_view_90d,statement_download_90d,digital_events_total_30d,digital_events_total_90d,digital_activity_change_pct,call_count_90d,refinance_intent_flag,competitor_shopping_flag,payoff_intent_flag,avg_call_sentiment,max_rate_sensitivity,branch_visits_90d,mortgage_discussion_count_90d,rate_discussion_flag_90d,refinance_discussion_flag_90d,churned_within_90d,churn_date,churn_probability,economic_value_if_lost,value_at_risk,expected_intervention_value
C0100000,Allison Hill,55-64,1,NY,637,3,1,1,31798.0,83195.0,M0100000,2020-03-19,254000,235000,5.832,30,283,1495.53,0.589,399000,0,43,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1,0,12,4,2,2,3,4,3,13.0,31,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.0041,13649.0,56.0,-188.0
C0100001,Noah Rhodes,35-44,15,IL,702,3,1,1,17512.0,49861.0,M0100001,2022-06-01,343000,309000,6.454,15,129,2979.23,0.593,521000,0,105,1.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,3,1,9,1,1,3,4,7,4,11.0,33,0.0,1.0,0.0,0.0,0.0,0.42,0.14,0.0,0.0,0.0,0.0,0,,0.0069,17947.0,124.0,-173.0
C0100002,Angie Henderson,55-64,5,WA,641,1,0,0,6557.0,64501.0,M0100002,2024-07-31,158000,154000,5.659,30,335,912.93,0.55,280000,0,26,0.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,2.0,0,1,11,2,0,2,4,1,3,14.0,24,1.8,2.0,1.0,1.0,0.0,0.13,0.78,0.0,0.0,0.0,0.0,0,,0.0122,8944.0,109.0,-176.0
C0100003,Daniel Wagner,45-54,15,TX,811,4,1,1,7177.0,184589.0,M0100003,2025-05-13,435000,428000,3.024,30,345,1839.61,0.551,777000,0,-238,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,15,1,0,1,1,0,3,5.0,22,-0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.003,24859.0,75.0,-184.0
C0100004,Cristian Santos,25-34,12,TX,729,3,1,1,375.0,112804.0,M0100004,2024-05-22,278000,271000,4.432,30,333,1397.38,0.566,479000,0,-97,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,17,2,0,0,0,3,2,7.0,24,-0.1764705882352941,1.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0,,0.0,15740.0,0.0,-200.0
C0100005,Connie Lawrence,65+,5,PA,725,3,1,1,3022.0,123606.0,M0100005,2022-06-06,337000,320000,4.114,30,309,1631.12,0.566,565000,0,-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,5,1,0,0,2,1,1,1.0,11,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0011,18586.0,20.0,-196.0
C0100006,Abigail Shaffer,55-64,10,MI,730,2,1,0,9903.0,118915.0,M0100006,2021-10-07,335000,316000,3.426,30,301,1490.5,0.621,509000,0,-197,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,18,2,0,1,1,0,1,6.0,23,-0.2941176470588235,2.0,0.0,0.0,0.0,0.49,0.18,0.0,0.0,0.0,0.0,0,,0.0006,18354.0,11.0,-198.0
C0100007,Gina Moore,55-64,1,WA,747,1,0,0,3239.0,92226.0,M0100007,2025-08-18,215000,212000,5.313,30,348,1195.64,0.545,389000,0,-9,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1,0,11,1,1,2,2,2,4,9.0,24,0.2,1.0,1.0,1.0,0.0,-0.31,0.8,0.0,0.0,0.0,0.0,0,,0.0029,12313.0,36.0,-192.0
C0100008,Gabrielle Davis,25-34,15,NC,764,3,1,1,1650.0,128313.0,M0100008,2024-02-02,322000,312000,6.062,30,329,1943.41,0.508,614000,0,66,0.0,0.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,0,1,11,2,2,5,4,4,5,20.0,34,1.8571428571428572,2.0,1.0,1.0,0.0,-0.11,0.76,1.0,0.0,0.0,0.0,0,,0.0391,18121.0,709.0,-44.0
C0100009,Ryan Munoz,45-54,7,GA,649,2,1,0,14417.0,56216.0,M0100009,2020-10-12,166000,155000,6.568,30,290,1056.67,0.695,223000,0,117,0.0,0.0,2.0,0.0,2.0,6.0,3.0,2.0,0.0,0,2,11,2,4,6,6,6,5,15.0,42,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.014,9003.0,126.0,-172.0
C0100010,Monica Herrera,35-44,8,AZ,778,4,1,1,38860.0,99278.0,M0100010,2023-04-29,258000,248000,6.046,30,320,1554.48,0.495,501000,0,65,0.0,0.0,8.0,0.0,0.0,4.0,3.0,3.0,0.0,1,0,21,0,1,5,3,5,1,18.0,37,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0117,14404.0,169.0,-163.0
C0100011,Jamie Arnold,65+,4,FL,776,1,0,0,3410.0,64907.0,M0100011,2021-03-18,188000,176000,4.886,30,295,996.17,0.657,268000,0,-51,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,15,2,1,1,3,1,2,5.0,25,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,10222.0,0.0,-200.0
C0100012,Lisa Hensley,45-54,8,AZ,717,2,1,0,23156.0,34659.0,M0100012,2023-06-17,211000,195000,6.691,15,142,1860.26,0.684,285000,0,129,0.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,0,0,9,3,3,2,4,6,5,15.0,32,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0058,11326.0,66.0,-185.0
C0100013,Michele Williams,55-64,8,PA,714,3,1,1,19337.0,18354.0,M0100013,2023-12-30,106000,99000,5.269,15,148,853.17,0.532,186000,0,-13,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,2,0,10,4,0,1,0,1,3,10.0,21,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,5750.0,0.0,-200.0
C0100014,Dylan Miller,35-44,5,PA,580,2,1,0,2509.0,92695.0,M0100014,2021-07-20,264000,248000,5.567,30,299,1510.08,0.595,417000,0,17,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0,1,17,1,2,1,1,0,2,6.0,25,-0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0116,14404.0,167.0,-163.0
C0100015,Brian Ramirez,35-44,20,MA,664,2,1,0,3384.0,167069.0,M0100015,2024-02-15,418000,405000,4.772,30,330,2186.03,0.488,830000,0,-63,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,10,2,1,0,2,1,1,7.0,19,0.1666666666666666,1.0,1.0,1.0,1.0,0.22,0.86,0.0,0.0,0.0,0.0,0,,0.0041,23523.0,96.0,-179.0
C0100016,Holly Wood,45-54,6,MI,743,3,1,1,70525.0,126937.0,M0100016,2021-09-27,358000,337000,5.23,30,301,1972.46,0.603,559000,0,-17,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,10,1,0,3,0,2,0,5.0,18,-0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.0,19573.0,0.0,-200.0
C0100017,Derek Zuniga,25-34,4,OH,774,3,1,1,2121.0,230317.0,M0100017,2024-07-22,564000,550000,5.037,30,335,3040.44,0.56,982000,0,-36,0.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0,1,16,1,1,1,1,2,3,12.0,26,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0092,31944.0,294.0,-135.0
C0100018,Lisa Jackson,55-64,11,PA,752,2,1,0,3902.0,70200.0,M0100018,2021-03-09,204000,191000,3.98,30,294,971.58,0.687,278000,0,-142,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2,14,1,0,1,0,0,4,4.0,22,-0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0011,11093.0,12.0,-197.0
C0100019,Carla Gray,45-54,7,OH,716,1,0,0,85725.0,83471.0,M0100019,2019-12-26,258000,238000,6.201,30,280,1580.34,0.589,404000,0,80,0.0,0.0,7.0,1.0,0.0,1.0,1.0,4.0,2.0,0,0,19,2,1,2,1,4,2,16.0,31,1.1333333333333333,2.0,1.0,1.0,0.0,-0.01,0.88,0.0,0.0,0.0,0.0,0,,0.0214,13823.0,296.0,-135.0
C0100020,Margaret Hawkins DDS,55-64,10,VA,806,2,1,0,4094.0,169454.0,M0100020,2020-04-04,518000,479000,5.684,30,283,3001.22,0.525,912000,0,28,2.0,0.0,8.0,2.0,1.0,1.0,3.0,5.0,1.0,2,3,17,3,3,1,4,5,4,23.0,42,1.4210526315789471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.009,27821.0,250.0,-145.0
C0100021,Patty Perez,35-44,15,FL,765,2,1,0,41093.0,36532.0,M0100021,2020-08-16,314000,270000,6.374,15,108,2713.57,0.641,421000,0,97,0.0,0.0,4.0,1.0,1.0,3.0,4.0,6.0,0.0,2,1,8,3,2,3,5,7,1,19.0,32,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0099,15682.0,155.0,-166.0
C0100022,Ethan Adams,65+,2,FL,702,3,1,1,2377.0,154865.0,M0100022,2025-08-21,360000,356000,4.726,30,348,1872.73,0.588,605000,0,-67,0.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,2,0,14,1,3,2,1,2,3,10.0,28,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,0.006,20677.0,124.0,-173.0
C0100023,Tommy Walter,55-64,11,PA,818,2,1,0,9566.0,315739.0,M0100023,2020-09-03,943000,877000,6.276,30,288,5822.17,0.473,1854000,0,88,0.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3,4,10,3,1,5,4,7,4,15.0,41,0.1538461538461538,1.0,1.0,0.0,0.0,-0.51,0.82,0.0,0.0,0.0,0.0,0,,0.0036,50937.0,183.0,-160.0
C0100024,Matthew Foster,55-64,1,GA,670,2,1,0,29825.0,103800.0,M0100024,2021-12-17,289000,273000,3.774,30,304,1342.34,0.641,426000,0,-163,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,14,0,1,1,0,0,2,5.0,19,-0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,15856.0,0.0,-200.0
